Exporter ISO3,Exporter,Importer ISO3,Importer,Year,Value (1000USD),Weight (1000kg),city_export,lat_export,lng_export,iso3_export,capital_export,city_import,lat_import,lng_import,iso3_import,capital_import
AUS,Australia,CAN,Canada,2019,0.16323528,0.024280407,Canberra,-35.2931,149.1269,AUS,primary,Ottawa,45.4247,-75.695,CAN,primary
AUS,Australia,LKA,Sri Lanka,2019,0.7721825,0.07726492,Canberra,-35.2931,149.1269,AUS,primary,Colombo,6.9167,79.8333,LKA,primary
AUS,Australia,LKA,Sri Lanka,2019,0.7721825,0.07726492,Canberra,-35.2931,149.1269,AUS,primary,Sri Jayewardenepura Kotte,6.9,79.9164,LKA,primary
AUS,Australia,CHN,China,2019,80.11366,7.7923636,Canberra,-35.2931,149.1269,AUS,primary,Beijing,39.9067,116.3975,CHN,primary
AUS,Australia,CZE,Czech Republic,2019,6.551,0.143,Canberra,-35.2931,149.1269,AUS,primary,Prague,50.0875,14.4214,CZE,primary
AUS,Australia,DNK,Denmark,2019,0.057876,0.001,Canberra,-35.2931,149.1269,AUS,primary,Copenhagen,55.6805,12.5615,DNK,primary
AUS,Australia,FJI,Fiji,2019,102.01091,16.27649,Canberra,-35.2931,149.1269,AUS,primary,Suva,-18.1333,178.4333,FJI,primary
AUS,Australia,FIN,Finland,2019,0.005597,0.001,Canberra,-35.2931,149.1269,AUS,primary,Helsinki,60.1708,24.9375,FIN,primary
AUS,Australia,FRA,France,2019,86.70704,19.714464,Canberra,-35.2931,149.1269,AUS,primary,Paris,48.8567,2.3522,FRA,primary
AUS,Australia,DEU,Germany,2019,31.322561,13.71201,Canberra,-35.2931,149.1269,AUS,primary,Berlin,52.52,13.405,DEU,primary
AUS,Australia,GRC,Greece,2019,39.03354,7.333,Canberra,-35.2931,149.1269,AUS,primary,Athens,37.9842,23.7281,GRC,primary
AUS,Australia,HKG,"China, Hong Kong SAR",2019,176.6379,24.835629,Canberra,-35.2931,149.1269,AUS,primary,Hong Kong,22.3,114.2,HKG,primary
AUS,Australia,IDN,Indonesia,2019,10.814945,2.0213196,Canberra,-35.2931,149.1269,AUS,primary,Jakarta,-6.175,106.8275,IDN,primary
AUS,Australia,IRL,Ireland,2019,0.033584,0.001,Canberra,-35.2931,149.1269,AUS,primary,Dublin,53.3497,-6.2603,IRL,primary
AUS,Australia,JPN,Japan,2019,269.11087,41.10859,Canberra,-35.2931,149.1269,AUS,primary,Tokyo,35.687,139.7495,JPN,primary
AUS,Australia,KOR,"Korea, Republic",2019,6.281178,0.62264216,Canberra,-35.2931,149.1269,AUS,primary,Seoul,37.5667,126.9833,KOR,primary
AUS,Australia,KWT,Kuwait,2019,38.63083,7.3886185,Canberra,-35.2931,149.1269,AUS,primary,Kuwait City,29.3697,47.9783,KWT,primary
AUS,Australia,LUX,Luxembourg,2019,1.897286,0.071,Canberra,-35.2931,149.1269,AUS,primary,Luxembourg,49.6117,6.1319,LUX,primary
AUS,Australia,MYS,Malaysia,2019,37.76692,6.1159654,Canberra,-35.2931,149.1269,AUS,primary,Kuala Lumpur,3.1686,101.698,MYS,primary
AUS,Australia,MYS,Malaysia,2019,37.76692,6.1159654,Canberra,-35.2931,149.1269,AUS,primary,Putrajaya,2.914,101.7019,MYS,primary
AUS,Australia,MDV,Maldives,2019,30.58796,1.65184,Canberra,-35.2931,149.1269,AUS,primary,Male,4.1753,73.5089,MDV,primary
AUS,Australia,MAR,Morocco,2019,0.149318,0.05,Canberra,-35.2931,149.1269,AUS,primary,Rabat,34.0209,-6.8416,MAR,primary
AUS,Australia,MAR,Morocco,2019,0.149318,0.05,Canberra,-35.2931,149.1269,AUS,primary,Tifariti,26.158,-10.567,MAR,primary
AUS,Australia,NRU,Nauru,2019,59.34488,3.9816,Canberra,-35.2931,149.1269,AUS,primary,Yaren,-0.5456,166.925,NRU,primary
AUS,Australia,NLD,Netherlands,2019,0.066051,0.005,Canberra,-35.2931,149.1269,AUS,primary,Amsterdam,52.3728,4.8936,NLD,primary
